cve,announce_date,cwe_ids,cwe_names,subject
CVE-2026-10879,"05 Jun 2026 14:34 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-10879: DBI versions before 1.648 for Perl have a heap overflow when preparsing SQL statements with more than 9 binders"
CVE-2026-9270,"05 Jun 2026 14:44 UTC",CWE-93;CWE-150,"Improper Neutralization of CRLF Sequences;Improper Neutralization of Escape, Meta, or Control Sequences","CVE-2026-9270: DataDog::DogStatsd versions through 0.07 for Perl allow metric injections"
CVE-2026-11362,"05 Jun 2026 14:46 UTC",CWE-93;CWE-150,"Improper Neutralization of CRLF Sequences;Improper Neutralization of Escape, Meta, or Control Sequences","CVE-2026-11362: DataDog::DogStatsd versions through 0.07 for Perl allow metric injections from event tags"
CVE-2026-14803,"06 Jul 2026 01:39 UTC",CWE-674,"Uncontrolled Recursion","CVE-2026-14803: Mojo::JSON versions before 9.47 for Perl allow memory exhaustion via unbounded recursion in the pure-Perl decoder"
CVE-2026-13705,"06 Jul 2026 12:06 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-13705: Imager versions before 1.032 for Perl have a heap out-of-bounds read in the bundled Imager::File::SGI reader via a 16-bit RLE literal run in read_rgb_16_rle"
CVE-2026-13708,"06 Jul 2026 12:07 UTC",CWE-401,"Missing Release of Memory after Effective Lifetime","CVE-2026-13708: Imager::File::JPEG versions before 1.003 for Perl leak heap memory when reading a JPEG with repeated APP13 markers in i_readjpeg_wiol"
CVE-2026-10725,"06 Jun 2026 09:16 UTC",CWE-409,"Improper Handling of Highly Compressed Data (Data","CVE-2026-10725: Protocol::HTTP2 versions through 1.12 for Perl is vulnerable to a HTTP/2 Bomb"
CVE-2026-5081,"06 May 2026 12:19 UTC",CWE-340,"Generation of Predictable Numbers or Identifiers","CVE-2026-5081: Apache::Session::Generate::ModUniqueId versions from 1.54 through 1.94 for Perl session ids are insecure"
CVE-2026-40562,"06 May 2026 12:38 UTC",CWE-444,"Inconsistent Interpretation of HTTP Requests ('HTTP","CVE-2026-40562: Gazelle versions through 0.49 for Perl allows HTTP Request Smuggling via Improper Header Precedence"
CVE-2026-86219,"06 Sep 2026 17:48 UTC",CWE-294,"Authentication Bypass by Capture-replay","CVE-2026-86219: Authen::SASL::Perl::DIGEST_MD5 versions before 2.2100 for Perl accept replayed authentication responses via unverified nonce in server_step"
CVE-2026-86304,"06 Sep 2026 22:25 UTC",CWE-347,"Improper Verification of Cryptographic Signature","CVE-2026-86304: MojoX::Authentication versions before 0.006 for Perl allow SAML authentication bypass because parse_assertion builds Net::SAML2::Binding::POST without a trust anchor"
CVE-2026-19082,"07 Aug 2026 17:59 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-19082: Imager versions from 0.45_02 before 1.034 for Perl may expose adjacent heap bytes via strlen() over-read from zero-count ASCII EXIF entries in copy_string_tags"
CVE-2026-17435,"07 Aug 2026 19:04 UTC",CWE-59,"Improper Link Resolution Before File Access ('Link Following')","CVE-2026-17435: File::Rotate::Simple versions before 0.4.0 for Perl create the target of dangling symlinks when rotating files"
CVE-2011-10043,"07 Jul 2026 11:47 UTC",CWE-145,"Improper Neutralization of Section Delimiters","CVE-2011-10043: Module::Load versions before 0.22 for Perl allow arbitrary modules outside of @INC to be loaded"
CVE-2026-7017,"07 Jul 2026 17:43 UTC",CWE-522,"Insufficiently Protected Credentials","CVE-2026-7017: HTTP::Tiny versions before 0.095 for Perl forward credential headers to cross-origin redirect targets"
CVE-2026-14380,"07 Jul 2026 22:06 UTC",CWE-95,"Improper Neutralization of Directives in Dynamically Evaluated","CVE-2026-14380: DBI versions before 1.650 for Perl are vulnerable to code injection via caller-influenced Profile"
CVE-2026-14740,"07 Jul 2026 22:08 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-14740: DBI versions before 1.650 for Perl read one byte out-of-bounds in preparse when deleting an initial SQL comment"
CVE-2026-14895,"07 Jul 2026 22:13 UTC",CWE-1333,"Inefficient Regular Expression Complexity","CVE-2026-14895: String::Util versions before 1.36 for Perl are susceptible to a regular expression denial of service"
CVE-2026-86287,"07 Sep 2026 18:28 UTC",CWE-1287,"Improper Validation of Specified Type of Input","CVE-2026-86287: Net::IP::LPM versions before 1.12 for Perl accept malformed prefix lengths"
CVE-2026-16028,"07 Sep 2026 18:40 UTC",CWE-401,"Missing Release of Memory after Effective Lifetime","CVE-2026-16028: Protocol::HTTP2 versions before 1.14 for Perl allow memory exhaustion via closed streams that stream_state never removes from the connection stream table"
CVE-2026-14454,"08 Jul 2026 12:31 UTC",CWE-196;CWE-789,"Unsigned to Signed Conversion Error;Memory Allocation with Excessive Size Value","CVE-2026-14454: Imager versions before 1.033 for Perl treat unsigned EXIF IFD entry counts as signed"
CVE-2026-49145,"08 Jul 2026 14:58 UTC",CWE-73;CWE-426,"External Control of File Name or Path;Untrusted Search Path","CVE-2026-49145: App::Ack versions through 3.10.0 for Perl read arbitrary files via --files-from in a project .ackrc"
CVE-2026-49146,"08 Jul 2026 14:59 UTC",CWE-770,"Allocation of Resources Without Limits or Throttling","CVE-2026-49146: App::Ack versions before 3.10.0 for Perl allow memory exhaustion via an unbounded context value in a project .ackrc"
CVE-2026-49147,"08 Jul 2026 15:00 UTC",CWE-150,"Improper Neutralization of Escape, Meta, or Control Sequences","CVE-2026-49147: App::Ack versions through 3.10.0 for Perl print unsanitised terminal escape sequences from filenames in several output modes"
CVE-2013-10075,"08 May 2026 07:46 UTC",CWE-672,"Operation on a Resource after Expiration or Release","CVE-2013-10075: Apache::Session versions through 1.94 for Perl re-creates deleted sessions"
CVE-2026-6659,"08 May 2026 17:23 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-6659: Crypt::PasswdMD5 versions through 1.42 for Perl generates insecure random values for salts"
CVE-2026-19872,"08 Sep 2026 20:11 UTC",CWE-79,"Improper Neutralization of Input During Web Page Generation","CVE-2026-19872: HTML::FormHandler versions before 0.410000 for Perl allow cross-site scripting via a submitted value rendered unescaped in an error message"
CVE-2026-85484,"08 Sep 2026 20:12 UTC",CWE-79,"Improper Neutralization of Input During Web Page Generation","CVE-2026-85484: HTML::FormHandler versions before 0.410002 for Perl render option group labels and radio button labels into HTML without escaping"
CVE-2026-85485,"08 Sep 2026 20:13 UTC",CWE-79,"Improper Neutralization of Input During Web Page Generation","CVE-2026-85485: HTML::FormHandler versions before 0.410002 for Perl render some error messages into HTML without escaping"
CVE-2026-85630,"08 Sep 2026 20:14 UTC",CWE-79,"Improper Neutralization of Input During Web Page Generation","CVE-2026-85630: HTML::FormHandler versions before 0.410002 for Perl render field attributes into HTML without escaping using the process_attrs method"
CVE-2026-17510,"09 Aug 2026 01:27 UTC",CWE-476,"NULL Pointer Dereference","CVE-2026-17510: Crypt::OpenSSL::PKCS12 versions before 1.98 for Perl allow a NULL pointer dereference in print_attribute via a zero length BMPSTRING attribute"
CVE-2026-15534,"09 Aug 2026 17:52 UTC",CWE-190;CWE-125;CWE-787,"Integer Overflow or Wraparound;Out-of-bounds Read;Out-of-bounds Write","CVE-2026-15534: Perl versions through 5.45.1 have out-of-bounds heap reads and writes during regular expression matching via an undersized superlinear cache in S_regmatch"
CVE-2026-9698,"09 Jun 2026 07:26 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-9698: DBI versions before 1.648 for Perl saved errors in a limited-sized buffer"
CVE-2009-10007,"09 Jun 2026 07:41 UTC",CWE-384,"Session Fixation","CVE-2009-10007: Catalyst::Plugin::Authentication versions before 0.10_027 for Perl is susceptible to session fixation attacks"
CVE-2026-50639,"10 Jun 2026 18:34 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-50639: Metrics::Any::Adapter::SignalFx versions before 0.04 for Perl does not protect against metric injections"
CVE-2026-50638,"10 Jun 2026 18:35 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-50638: Metrics::Any::Adapter::DogStatsd versions before 0.04 for Perl does not protect against metric injections"
CVE-2026-50637,"10 Jun 2026 18:36 UTC",CWE-93,"Improper Neutralization of CRLF Sequences","CVE-2026-50637: Metrics::Any::Adapter::Statsd versions before 0.04 for Perl does not protect against metric injections"
CVE-2026-45179,"10 May 2026 19:34 UTC",CWE-319,"Cleartext Transmission of Sensitive Information","CVE-2026-45179: Plack::Middleware::Statsd versions before 0.9.0 for Perl may leak user IP addresses"
CVE-2026-45180,"10 May 2026 20:08 UTC",CWE-319,"Cleartext Transmission of Sensitive Information","CVE-2026-45180: Catalyst::Plugin::Statsd versions through 0.10.0 for Perl may leak session ids"
CVE-2026-45190,"10 May 2026 20:24 UTC",CWE-1289,"Improper Validation of Unsafe Equivalence in Input","CVE-2026-45190: Net::CIDR::Lite versions before 0.24 for Perl does not properly validate IP address and CIDR mask inputs, which may allow IP ACL bypass"
CVE-2026-45191,"10 May 2026 20:25 UTC",CWE-1289,"Improper Validation of Unsafe Equivalence in Input","CVE-2026-45191: Net::CIDR::Lite versions before 0.24 for Perl does not properly consider extraneous zero characters in CIDR mask values, which may allow IP ACL bypass"
CVE-2026-8177,"10 May 2026 20:55 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-8177: XML::LibXML versions through 2.0210 for Perl read out-of-bounds heap memory when parsing XML node names containing truncated UTF-8 byte sequences"
CVE-2026-5084,"11 May 2026 07:25 UTC",CWE-340;CWE-338,"Generation of Predictable Numbers or Identifiers;Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-5084: WebDyne::Session versions through 2.075 for Perl generates the session id insecurely"
CVE-2022-4988,"11 May 2026 19:07 UTC",CWE-1395,"Dependency on Vulnerable Third-Party Component","CVE-2022-4988: Alien::FreeImage versions through 1.001 for Perl contains several vulnerable libraries"
CVE-2026-6146,"11 May 2026 19:14 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-6146: Amazon::Credentials versions through 1.2.0 for Perl uses rand to generate encryption keys"
CVE-2026-7010,"11 May 2026 21:18 UTC",CWE-113,"Improper Neutralization of CRLF Sequences in HTTP Headers","CVE-2026-7010: HTTP::Tiny versions before 0.093 for Perl do not validate CRLF in HTTP request lines or control field header values"
CVE-2026-19566,"12 Aug 2026 08:41 UTC",CWE-1284;CWE-789,"Improper Validation of Specified Quantity in Input;Memory Allocation with Excessive Size Value","CVE-2026-19566: Net::CIDR::Set versions before 0.23 for Perl allow memory exhaustion and malformed set ranges via unbounded IPv6 prefix lengths"
CVE-2026-16770,"12 Aug 2026 23:15 UTC",CWE-88,"Improper Neutralization of Argument Delimiters in a Command","CVE-2026-16770: PDF::WebKit versions through 1.2 for Perl allow argument injection into wkhtmltopdf via meta tags in the source document"
CVE-2026-17431,"12 Aug 2026 23:18 UTC",CWE-78;CWE-73,"Improper Neutralization of Special Elements used in an OS;External Control of File Name or Path","CVE-2026-17431: PDF::WebKit versions through 1.2 for Perl allow OS command injection via a 2-arg open() of the output path in to_pdf and of stylesheet paths in _style_tag_for"
CVE-2017-20240,"12 Jun 2026 13:23 UTC",CWE-208,"Observable Timing Discrepancy","CVE-2017-20240: Crypt::PBKDF2 versions before 0.261630 for Perl are vulnerable to timing attacks"
CVE-2026-9638,"12 Jun 2026 14:43 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-9638: Crypt::PBKDF2 versions before 0.261630 for Perl generate insecure random values for salts"
CVE-2026-9641,"12 Jun 2026 15:01 UTC",CWE-916,"Use of Password Hash With Insufficient Computational Effort","CVE-2026-9641: Crypt::PBKDF2 versions before 0.261630 for Perl have a weak default algorithm and number of iterations"
CVE-2026-8368,"12 May 2026 14:07 UTC",CWE-522,"Insufficiently Protected Credentials","CVE-2026-8368: LWP::UserAgent versions before 6.83 for Perl leak Authorization and Proxy-Authorization headers on cross-origin redirects"
CVE-2026-5089,"12 May 2026 16:59 UTC",CWE-124,"Buffer Underwrite ('Buffer Underflow')","CVE-2026-5089: YAML::Syck versions before 1.38 for Perl has an out-of-bounds read"
CVE-2026-19487,"13 Aug 2026 15:54 UTC",CWE-670,"Always-Incorrect Control Flow Implementation","CVE-2026-19487: Perl versions from 5.9.4 before 5.41.9 produce incorrect regular expression match results when a stale failure flag ends the Aho-Corasick prescan early in S_find_byclass"
CVE-2022-4993,"13 Aug 2026 16:30 UTC",CWE-1336;CWE-470,"Improper Neutralization of Special Elements Used in a;Use of Externally-Controlled Input to Select Classes or Code","CVE-2022-4993: HTML::FormHandler versions through 0.40068 for Perl allow attacker selected method dispatch and resource exhaustion because _apply_actions and add_error use error message text built from request data as a Locale::Maketext bracket notation template"
CVE-2026-13048,"13 Aug 2026 16:31 UTC",CWE-95;CWE-22,"Improper Neutralization of Directives in Dynamically Evaluated;Improper Limitation of a Pathname to a Restricted Directory","CVE-2026-13048: Data::MuForm::Localizer versions through 0.05 for Perl execute Perl from a message catalog header, reached at an arbitrary path because load_lexicon interpolates the language attribute into the catalog filename"
CVE-2026-13051,"13 Aug 2026 16:31 UTC",CWE-1336;CWE-470,"Improper Neutralization of Special Elements Used in a;Use of Externally-Controlled Input to Select Classes or Code","CVE-2026-13051: Form::Processor::Field::HtmlArea versions from 0.06 through 1.162360 for Perl allow attacker selected method dispatch and resource exhaustion via an HTML::Tidy diagnostic that validate passes to add_error as a Locale::Maketext template"
CVE-2026-13221,"13 Jul 2026 15:43 UTC",CWE-190,"Integer Overflow or Wraparound","CVE-2026-13221: Perl versions through 5.43.9 produce silently incorrect regular expression matches when an alternation of more than 65535 fixed string branches is compiled into a trie in Perl_study_chunk"
CVE-2026-57432,"13 Jul 2026 15:46 UTC",CWE-190;CWE-125,"Integer Overflow or Wraparound;Out-of-bounds Read","CVE-2026-57432: Perl versions through 5.43.10 have an integer overflow in S_measure_struct leading to an out-of-bounds heap read in pack and unpack"
CVE-2026-57433,"13 Jul 2026 15:51 UTC",CWE-190,"Integer Overflow or Wraparound","CVE-2026-57433: Storable versions before 3.41 for Perl have a signed integer overflow when deserializing a crafted SX_HOOK record"
CVE-2026-58101,"13 Jul 2026 22:25 UTC",CWE-476,"NULL Pointer Dereference","CVE-2026-58101: Crypt::OpenSSL::X509 versions before 2.1.3 for Perl allow denial of service via NULL pointer dereference"
CVE-2026-58102,"13 Jul 2026 22:25 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-58102: Crypt::OpenSSL::X509 versions before 2.1.3 for Perl allow a heap out-of-bounds read via a long certificate extension OID in hv_exts"
CVE-2026-8463,"13 May 2026 12:43 UTC",CWE-126;CWE-191,"Buffer Over-read;Integer Underflow (Wrap or Wraparound)","CVE-2026-8463: Crypt::Argon2 versions from 0.017 before 0.031 for Perl perform a heap out-of-bounds read in argon2_verify on empty encoded input"
CVE-2026-8500,"13 May 2026 22:26 UTC",CWE-78,"Improper Neutralization of Special Elements used in an OS","CVE-2026-8500: Web::Passwd versions through 0.03 for Perl is vulnerable to RCE"
CVE-2026-15043,"14 Jul 2026 09:45 UTC",CWE-480,"Use of Incorrect Operator","CVE-2026-15043: DBI::SQL::Nano versions from 1.42 before 1.651 for Perl have inverted <= and >= SQL operators on text"
CVE-2026-60082,"14 Jul 2026 15:36 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-60082: DBI versions before 1.651 for Perl do not enforce statement handle consistency with the row"
CVE-2026-15392,"14 Jul 2026 15:39 UTC",CWE-22;CWE-59,"Improper Limitation of a Pathname to a Restricted Directory;Improper Link Resolution Before File Access ('Link Following')","CVE-2026-15392: DBD::File versions before 1.651 for Perl do not ensure the table file is not a symlink to an untrusted location"
CVE-2026-60081,"14 Jul 2026 15:39 UTC",CWE-770,"Allocation of Resources Without Limits or Throttling","CVE-2026-60081: DBI::ProfileData versions before 1.651 for Perl do not limit the path index"
CVE-2026-15747,"14 Jul 2026 17:11 UTC",CWE-204;CWE-352,"Observable Response Discrepancy;Cross-Site Request Forgery (CSRF)","CVE-2026-15747: Mojolicious versions from 4.59 before 9.48 for Perl expose a stable representation of the session CSRF token to a BREACH compression oracle"
CVE-2026-11526,"14 Jun 2026 20:24 UTC",CWE-78;CWE-73,"Improper Neutralization of Special Elements used in an OS;External Control of File Name or Path","CVE-2026-11526: GD versions before 2.86 for Perl allow OS command injection and file overwrite via a 2-arg open() of filename arguments in _make_filehandle"
CVE-2026-11527,"14 Jun 2026 20:28 UTC",CWE-78;CWE-73,"Improper Neutralization of Special Elements used in an OS;External Control of File Name or Path","CVE-2026-11527: Config::IniFiles versions before 3.001000 for Perl allow OS command injection and file overwrite via a 2-arg open() of the -file argument in _make_filehandle"
CVE-2026-73193,"15 Aug 2026 12:10 UTC",CWE-190;CWE-787,"Integer Overflow or Wraparound;Out-of-bounds Write","CVE-2026-73193: DBI versions before 1.652 for Perl allow a heap out-of-bounds write on 32-bit perl via an integer wraparound in the output buffer size computed by preparse"
CVE-2026-73194,"15 Aug 2026 12:11 UTC",CWE-1284;CWE-787,"Improper Validation of Specified Quantity in Input;Out-of-bounds Write","CVE-2026-73194: DBI versions before 1.652 for Perl allow a heap out-of-bounds write via an unvalidated numeric placeholder that sets the binder counter in preparse"
CVE-2026-15689,"15 Aug 2026 13:27 UTC",CWE-640,"Weak Password Recovery Mechanism for Forgotten Password","CVE-2026-15689: Dancer2::Plugin::Auth::Extensible versions through 0.713 for Perl allow password reset link poisoning via the request Host header in _default_email_password_reset and _default_welcome_send"
CVE-2026-12205,"15 Jun 2026 13:01 UTC",CWE-323,"Reusing a Nonce, Key Pair in Encryption","CVE-2026-12205: Crypt::DSA versions before 1.21 for Perl reused the nonce across signatures, leading to private-key recovery"
CVE-2026-12087,"15 Jun 2026 21:12 UTC",CWE-125;CWE-805,"Out-of-bounds Read;Buffer Access with Incorrect Length Value","CVE-2026-12087: Socket versions before 2.041 for Perl have an out-of-bounds heap read"
CVE-2026-11832,"15 Jun 2026 21:22 UTC",CWE-338,"Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-11832: Dancer2::Plugin::Auth::OAuth versions before 0.22 for Perl default to a predictable nonce"
CVE-2026-8612,"15 May 2026 01:16 UTC",CWE-732;CWE-502,"Incorrect Permission Assignment for Critical Resource;Deserialization of Untrusted Data","CVE-2026-8612: WWW::Mechanize::Cached versions before 2.00 for Perl deserialize cached HTTP responses from a world-writable on-disk cache, enabling local response forgery and code execution"
CVE-2026-8454,"15 May 2026 11:00 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-8454: Imager::File::GIF versions through 1.002 for Perl allow a heap out of bounds (OOB) write on crafted multi-frame GIF files"
CVE-2026-8503,"15 May 2026 11:14 UTC",CWE-340;CWE-338,"Generation of Predictable Numbers or Identifiers;Use of Cryptographically Weak Pseudo-Random Number Generator","CVE-2026-8503: Apache::Session::Generate::SHA256 versions before 1.3.19 for Perl create insecure session ids"
CVE-2026-8669,"15 May 2026 13:39 UTC",CWE-787,"Out-of-bounds Write","CVE-2026-8669: Imager versions through 1.030 for Perl allow a heap out of bounds (OOB) write on crafted multi-frame GIF files"
CVE-2026-46474,"15 May 2026 17:43 UTC",CWE-331,"Insufficient Entropy","CVE-2026-46474: Trog::TOTP versions before 1.006 for Perl generate secrets using rand"
CVE-2026-8700,"15 May 2026 22:12 UTC",CWE-331,"Insufficient Entropy","CVE-2026-8700: Crypt::DSA versions before 1.20 for Perl generate seeds using rand"
CVE-2026-8704,"15 May 2026 22:21 UTC",CWE-552,"Files or Directories Accessible to External Parties","CVE-2026-8704: Crypt::DSA versions through 1.19 for Perl use 2-args open, allowing existing files to be modified"
CVE-2026-19349,"16 Aug 2026 13:24 UTC",CWE-305;CWE-628,"Authentication Bypass by Primary Weakness;Function Call with Incorrectly Specified Arguments","CVE-2026-19349: Lemonldap::NG::Portal versions from 2.0.0 before 2.16.9, from 2.17.0 before 2.21.5, from 2.22.0 before 2.23.3 for Perl allow authentication bypass via an OAuth2 state parameter stored as an SSO session in the GitHub and LinkedIn backends"
CVE-2026-72887,"16 Aug 2026 13:51 UTC",CWE-757,"Selection of Less-Secure Algorithm During Negotiation","CVE-2026-72887: Net::OAuth::Client versions before 0.32 for Perl allow the service provider to silently downgrade OAuth 1.0a to OAuth 1.0 in get_request_token"
CVE-2026-72888,"16 Aug 2026 13:52 UTC",CWE-770,"Allocation of Resources Without Limits or Throttling","CVE-2026-72888: Net::OAuth versions before 0.32 for Perl allow memory exhaustion via unbounded caching of failed module loads in smart_require"
CVE-2026-57074,"16 Jul 2026 16:16 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-57074: XML::Bare versions through 0.53 for Perl have an unbounded character lookahead"
CVE-2026-13401,"16 Jul 2026 16:17 UTC",CWE-835,"Loop with Unreachable Exit Condition ('Infinite Loop')","CVE-2026-13401: XML::Bare versions through 0.53 for Perl will hang in an infinite loop when parsing malformed attributes"
CVE-2026-13397,"16 Jul 2026 16:18 UTC",CWE-835,"Loop with Unreachable Exit Condition ('Infinite Loop')","CVE-2026-13397: HTML::Bare versions through 0.04 for Perl will hang in an infinite loop when parsing malformed attributes"
CVE-2026-57073,"16 Jul 2026 16:18 UTC",CWE-125,"Out-of-bounds Read","CVE-2026-57073: HTML::Bare versions through 0.04 for Perl have an unbounded character lookahead"
CVE-2026-3031,"16 Jul 2026 16:23 UTC",CWE-1104,"Use of Unmaintained Third Party Components","CVE-2026-3031: Image::EPEG versions through 0.15 for Perl embeds an unsupported version of the Epeg library"
